Exchange ,Scrip Code ,User ,Client ,Client Name ,Instrument Type ,Instrument Name ,Symbol ,Ser/Exp ,Strike Price ,Option Type ,Scrip Name ,Buy Qty ,Buy Lot ,Buy Weight ,Buy Val ,Buy Avg. ,Sell Qty ,Sell Lot ,Sell Weight ,Sell Val ,Sell Avg. ,Net Qty ,Net Lot ,Net Weight ,Net Val  ,Net Price ,Market Price ,MTMV Pos  ,MTM G/L  ,Product Type ,Group ,DPR Range ,Maturity Date ,Yield ,Total Value ,Total Quantity ,Total Lot ,Total Weight ,Brokerage ,Net MTM ,Net Value Post Expenses ,Option Flag ,VAR % ,VAR Amount ,SM Category ,Category ,Expense ,ExcerciseExpense ,CF Avg Price ,Actual MTM P&L ,Unsettled Quantity
NSE ,147317,ALL ,A936,ANISHA ESTATE AND FINANCE PRIVATE LTD ,Options ,OPTSTK ,TECHM ,29AUG2024,1472.00,CE ,TECHM24AUG1472CE, , , , , ,600,1, ,50400.00,84.00,-600,-1, ,50400.00,84.00,78.65,-47190.00,3210.00,CarryForward ,HO ,51.15 - 146.85, , ,50400.00,600,1, ,0.00,3210.00,50400.00,ITM , , , ,NORMAL , , , , ,
NSE ,145018,ALL ,A936,ANISHA ESTATE AND FINANCE PRIVATE LTD ,Options ,OPTSTK ,TECHM ,25JUL2024,1472.00,CE ,TECHM24JUL1472CE,600,1, ,28860.00,48.10, , , , , ,600,1, ,-28860.00,48.10,32.65,19590.00,-9270.00,CarryForward ,HO ,0.05 - 107.65, , ,28860.00,600,1, ,0.00,-9270.00,-28860.00,ITM , , , ,NORMAL , , , , ,
NSE ,147327,ALL ,A936,ANISHA ESTATE AND FINANCE PRIVATE LTD ,Options ,OPTSTK ,TECHM ,29AUG2024,1572.00,CE ,TECHM24AUG1572CE, , , , , ,600,1, ,26940.00,44.90,-600,-1, ,26940.00,44.90,40.00,-24000.00,2940.00,CarryForward ,HO ,19.60 - 79.30, , ,26940.00,600,1, ,0.00,2940.00,26940.00,OTM , , , ,NORMAL , , , , ,
NSE ,147403,ALL ,A936,ANISHA ESTATE AND FINANCE PRIVATE LTD ,Options ,OPTSTK ,TITAN ,25JUL2024,3500.00,CE ,TITAN24JUL3500CE,700,4, ,2975.00,4.25, , , , , ,700,4, ,-2975.00,4.25,4.20,2940.00,-35.00,CarryForward ,HO ,0.05 - 25.05, , ,2975.00,700,4, ,0.00,-35.00,-2975.00,OTM , , , ,NORMAL , , , , ,
NSE ,154341,ALL ,A936,ANISHA ESTATE AND FINANCE PRIVATE LTD ,Options ,OPTSTK ,TITAN ,29AUG2024,3500.00,CE ,TITAN24AUG3500CE, , , , , ,525,3, ,20282.50,38.63,-525,-3, ,20282.50,38.63,36.70,-19267.50,1015.00,CarryForward ,HO ,2.80 - 76.20, , ,20282.50,525,3, ,0.00,1015.00,20282.50,OTM , , , ,NORMAL , , , , ,
NSE ,146533,ALL ,A936,ANISHA ESTATE AND FINANCE PRIVATE LTD ,Options ,OPTSTK ,WIPRO ,25JUL2024,540.00,PE ,WIPRO24JUL540PE, , , , , ,1500,1, ,10275.00,6.85,-1500,-1, ,10275.00,6.85,6.85,-10275.00,0.00,CarryForward ,HO ,0.05 - 24.15, , ,10275.00,1500,1, ,0.00,0.00,10275.00,OTM , , , ,NORMAL , , , , ,
NSE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , ,
NSE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , ,
NSE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , ,
NSE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , ,
NSE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , ,
NSE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , ,
NSE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , ,
NSE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , ,
NSE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , ,
NSE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , ,
NSE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , ,
NSE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , ,
NSE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , ,
NSE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , ,
NSE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , ,
NSE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , ,
NSE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , ,
NSE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , ,
NSE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , ,
NSE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , ,
NSE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , ,
NSE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , ,
NSE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , ,
NSE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , ,
